,player_id,team_id_salary,league_id_salary,salary,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,cg,sho,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,pos,inn_outs,po,a,e,dp,pb,zr,debut,final_game,Days Played
416,blylebe01,CAL,AL,6000000,MIN,AL,2083.0,451.0,2048.0,4691.0,7.0,0.0,430.0,25.0,0.0,0.0,1327.0,3894.0,71.0,157.0,56.0,0.0,4.0,287.0,250.0,1370.0,242.0,60.0,0.0,14910.0,1830.0,5.87,82.9,114.0,19.0,20491.0,3.0,P,14910.0,287.0,662.0,30.0,48.0,0.0,0.0,1970-06-05,1992-10-04,8157.0
417,bocachi01,DET,AL,975000,LAN,AL,627.0,535.0,69.0,115.0,28.0,1.0,15.0,37.0,16.0,10.0,41.0,139.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,3381.0,251.0,69.0,11.0,12.0,0.0,0.0,2000-09-13,2007-07-17,2498.0
418,bochtbr01,OAK,AL,1717500,SEA,AL,3492.0,5233.0,643.0,1478.0,250.0,21.0,100.0,658.0,43.0,41.0,653.0,662.0,65.0,13.0,44.0,51.0,156.0,0.0,0.0,1737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,45958.0,9941.0,669.0,105.0,845.0,0.0,0.0,1974-07-19,1986-10-05,4461.0
419,bochtdo01,DET,AL,862500,SDN,NL,660.0,2.0,138.0,231.0,0.0,0.0,36.0,0.0,0.0,0.0,166.0,215.0,23.0,6.0,1.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,6.0,780.0,132.0,0.981,29.529999999999998,22.0,2.0,1156.0,58.0,P,779.0,14.0,21.0,4.0,1.0,0.0,0.0,1995-05-05,2000-07-22,1905.0
420,bochybr01,SDN,NL,405000,SDN,NL,658.0,802.0,75.0,192.0,37.0,2.0,26.0,93.0,221.0,90.0,67.0,177.0,14.0,2.0,4.0,6.0,25.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,C,5808.0,1220.0,130.0,29.0,17.0,14.0,3.0,1978-07-19,1987-10-04,3364.0
421,bococbr01,PHI,NL,1242000,PHI,NL,73.0,82.0,6.0,11.0,1.0,0.0,0.0,2.0,4.0,2.0,12.0,32.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS,726.0,42.0,75.0,4.0,24.0,0.0,0.0,2008-03-31,2010-10-03,916.0
422,boddimi01,KCA,AL,9500001,BAL,AL,1034.0,0.0,994.0,2082.0,0.0,0.0,188.0,0.0,0.0,0.0,721.0,1330.0,39.0,87.0,0.0,0.0,0.0,134.0,116.0,618.0,63.0,16.0,3.0,6371.0,897.0,3.79,61.5,60.0,8.0,8999.0,15.0,P,6371.0,245.0,366.0,32.0,37.0,0.0,0.0,1980-10-04,1993-06-13,4635.0
423,boehrbr01,PIT,NL,6000000,NYA,NL,1068.0,31.0,280.0,524.0,1.0,0.0,64.0,2.0,0.0,0.0,277.0,448.0,34.0,18.0,15.0,13.0,2.0,26.0,32.0,39.0,0.0,0.0,3.0,1604.0,259.0,2.319,55.97,10.0,1.0,2375.0,98.0,P,1604.0,26.0,41.0,1.0,2.0,0.0,0.0,1995-04-30,2004-06-01,3320.0
424,boescbr01,NYA,AL,4500000,DET,AL,1275.0,1577.0,192.0,394.0,79.0,7.0,48.0,195.0,22.0,7.0,109.0,344.0,9.0,16.0,0.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,8412.0,665.0,22.0,18.0,5.0,0.0,0.0,2010-04-23,2015-10-01,1987.0
425,boevejo01,DET,AL,2400000,ATL,NL,1548.0,17.0,362.0,753.0,0.0,0.0,75.0,0.0,0.0,0.0,343.0,545.0,70.0,16.0,0.0,0.0,0.0,34.0,45.0,0.0,0.0,0.0,49.0,2263.0,329.0,3.4699999999999998,54.69,30.0,4.0,3301.0,257.0,P,2263.0,46.0,94.0,7.0,6.0,0.0,0.0,1985-07-19,1996-09-29,4090.0
