,team_id_salary,league_id_salary,player_id,salary,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
1001,KCA,AL,crowaa01,1600000,KCA,AL,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,CLE,AL,crowetr01,435700,CLE,AL,265.0,818.0,94.0,196.0,41.0,7.0,4.0,68.0,35.0,8.0,60.0,160.0,1.0,4.0,9.0,3.0,24.0
1003,DET,AL,cruzde01,3525000,DET,AL,1234.0,4124.0,442.0,1109.0,250.0,16.0,70.0,464.0,16.0,28.0,132.0,429.0,12.0,24.0,63.0,32.0,117.0
1004,MIL,NL,cruzen01,300000,CIN,NL,61.0,72.0,6.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,30.0,0.0,1.0,0.0,0.0,2.0
1005,PIT,NL,cruziv01,205000,PIT,NL,41.0,55.0,5.0,15.0,1.0,0.0,2.0,8.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0
1006,CIN,NL,cruzja01,500000,CLE,NL,409.0,729.0,95.0,176.0,38.0,2.0,19.0,105.0,4.0,8.0,85.0,207.0,3.0,16.0,4.0,8.0,20.0
1007,HOU,NL,cruzjo01,796383,HOU,NL,2353.0,7917.0,1036.0,2251.0,391.0,94.0,165.0,1077.0,317.0,136.0,898.0,1031.0,142.0,7.0,27.0,82.0,119.0
1008,ARI,NL,cruzjo02,4000000,TOR,AL,1388.0,4724.0,713.0,1167.0,252.0,36.0,204.0,624.0,113.0,39.0,658.0,1147.0,37.0,5.0,23.0,38.0,73.0
1009,CHA,AL,cruzju01,1242333,SEA,AL,1156.0,3859.0,557.0,916.0,113.0,27.0,23.0,279.0,343.0,78.0,478.0,508.0,3.0,14.0,56.0,30.0,64.0
1010,KCA,AL,cruzju02,3250000,ARI,NL,450.0,70.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,28.0,0.0,0.0,7.0,0.0,2.0
1011,LAN,NL,cruzlu01,505000,LAN,NL,195.0,610.0,57.0,143.0,27.0,1.0,7.0,57.0,4.0,2.0,24.0,78.0,3.0,9.0,6.0,3.0,18.0
1012,COL,NL,cruzne01,700000,DET,AL,204.0,33.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,0.0,0.0
1013,SEA,AL,cruzne02,14250000,TEX,AL,1115.0,4094.0,581.0,1118.0,225.0,11.0,241.0,690.0,72.0,30.0,364.0,1015.0,36.0,27.0,2.0,27.0,80.0
1014,HOU,AL,cruzrh01,498000,HOU,AL,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1015,SLN,NL,cruzto03,775000,SLN,NL,259.0,591.0,49.0,130.0,32.0,3.0,5.0,58.0,0.0,5.0,32.0,117.0,3.0,3.0,4.0,3.0,24.0
1016,MIN,AL,cuddymi01,10500000,MIN,AL,1536.0,5488.0,809.0,1522.0,333.0,42.0,197.0,794.0,75.0,22.0,527.0,1101.0,36.0,49.0,4.0,34.0,183.0
1017,CIN,NL,cuetojo01,10000000,CIN,NL,227.0,384.0,22.0,41.0,1.0,0.0,0.0,10.0,0.0,0.0,11.0,124.0,0.0,1.0,69.0,0.0,4.0
1018,COL,NL,culbech01,500000,COL,NL,148.0,331.0,29.0,73.0,12.0,2.0,5.0,37.0,7.0,3.0,16.0,92.0,3.0,5.0,5.0,3.0,11.0
1019,DET,AL,cummijo01,215000,SEA,AL,110.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1020,ARI,NL,cummimi01,425000,PIT,NL,460.0,1113.0,136.0,286.0,60.0,8.0,22.0,124.0,9.0,6.0,94.0,200.0,4.0,9.0,5.0,7.0,14.0
1021,DET,AL,cummist01,120000,TOR,AL,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1022,PIT,NL,cumptbr01,507000,PIT,NL,22.0,26.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,4.0,0.0,0.0
1023,ATL,NL,cunnawi01,525000,SDN,NL,186.0,35.0,6.0,7.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0
1024,CLE,AL,cunniaa01,482300,OAK,AL,222.0,452.0,47.0,99.0,31.0,3.0,7.0,51.0,4.0,6.0,34.0,110.0,3.0,6.0,5.0,4.0,9.0
1025,ATL,NL,cunnito01,507500,ATL,NL,47.0,94.0,15.0,21.0,4.0,0.0,0.0,4.0,2.0,1.0,5.0,20.0,1.0,2.0,0.0,0.0,2.0
1026,DET,AL,curtich01,2000000,CAL,AL,1204.0,4017.0,648.0,1061.0,195.0,16.0,101.0,461.0,212.0,98.0,510.0,676.0,11.0,40.0,34.0,49.0,102.0
1027,NYA,AL,curtico01,420400,NYA,AL,31.0,59.0,7.0,11.0,3.0,0.0,1.0,8.0,0.0,0.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0
1028,OAK,AL,custja01,2800000,OAK,AL,670.0,2107.0,311.0,510.0,96.0,2.0,105.0,323.0,6.0,6.0,444.0,819.0,12.0,12.0,0.0,18.0,32.0
1029,DET,AL,cuylemi01,340000,DET,AL,490.0,1386.0,227.0,329.0,47.0,23.0,10.0,119.0,77.0,26.0,121.0,273.0,0.0,16.0,37.0,7.0,15.0
1030,ARI,NL,daalom01,5625000,LAN,NL,392.0,270.0,23.0,53.0,8.0,0.0,2.0,21.0,0.0,0.0,14.0,61.0,0.0,0.0,31.0,0.0,9.0
