,team_id_salary,league_id_salary,player_id,salary,team_id,league_id,pos,g,gs,inn_outs,po,a,e,dp,pb,wp,sb,cs,zr
18,NYA,AL,aceveju01,900000,COL,NL,P,367.0,34.0,1713.0,42.0,68.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
19,TOR,AL,ackerji01,700000,TOR,AL,P,467.0,32.0,2713.0,73.0,161.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
20,SEA,AL,ackledu01,2700000,SEA,AL,2B,871.0,0.0,12435.0,1300.0,801.0,20.0,184.0,0.0,0.0,0.0,0.0,0.0
21,NYN,NL,acostma01,875000,ATL,NL,P,233.0,0.0,744.0,19.0,37.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
22,OAK,AL,acrema01,165000,OAK,AL,P,114.0,0.0,381.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,CLE,AL,adamsau01,507700,CLE,AL,P,34.0,0.0,21.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,NYA,AL,adamsda02,540000,NYA,AL,1B,44.0,0.0,1020.0,56.0,76.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
25,ARI,NL,adamsjo02,210000,ARI,NL,P,44.0,11.0,331.0,9.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
26,SLN,NL,adamsma01,534000,SLN,NL,1B,277.0,0.0,5868.0,2244.0,174.0,17.0,224.0,0.0,0.0,0.0,0.0,0.0
27,PHI,NL,adamsmi03,7000000,SDN,NL,P,408.0,0.0,1221.0,32.0,43.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
28,TOR,AL,adamsru01,343000,TOR,AL,SS,267.0,0.0,6078.0,331.0,573.0,46.0,113.0,0.0,0.0,0.0,0.0,0.0
29,PHI,NL,adamste01,2900000,CHN,NL,P,574.0,0.0,2606.0,87.0,130.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0
30,OAK,AL,adamswi02,177000,OAK,AL,P,25.0,24.0,404.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,KCA,AL,adcocna01,414000,KCA,AL,P,56.0,0.0,315.0,10.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
32,ML4,AL,adducji01,70000,ML4,AL,1B,79.0,30.0,1053.0,167.0,14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
33,TEX,AL,adducji02,501000,TEX,AL,1B,79.0,0.0,843.0,155.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
34,LAA,AL,adenhni01,400000,LAA,AL,P,4.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,CHA,AL,adkinjo01,301000,CHA,AL,P,119.0,0.0,414.0,7.0,23.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
36,SFN,NL,adriaeh01,500500,SFN,NL,SS,83.0,0.0,729.0,93.0,180.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0
37,CIN,NL,afenitr01,130000,OAK,AL,C,43.0,20.0,613.0,123.0,5.0,1.0,3.0,6.0,4.0,17.0,3.0,0.0
38,SFN,NL,affelje01,6000000,SFN,NL,P,774.0,0.0,2670.0,45.0,184.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0
39,COL,NL,agbaybe01,600000,NYN,NL,LF,692.0,146.0,8994.0,610.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
40,SLN,NL,agostju01,1666667,CHA,AL,P,543.0,2.0,1879.0,58.0,158.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0
41,PHI,NL,aguaylu01,375000,PHI,NL,SS,505.0,268.0,8183.0,483.0,867.0,54.0,148.0,0.0,0.0,0.0,0.0,0.0
42,FLO,NL,aguilch01,327000,FLO,NL,LF,208.0,0.0,1323.0,103.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
