,team_id_salary,league_id_salary,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,inn_outs,po,a,e,dp,Days Played
2850,ATL,NL,1200000,396.0,0.0,60.0,104.0,0.0,0.0,6.0,0.0,0.0,0.0,64.0,98.0,4.0,3.0,4.0,1.0,0.0,6.0,2.0,0.0,2.0,310.0,50.0,1.065,19.15,7.0,0.0,473.0,22.0,312.0,8.0,13.0,0.0,1.0,749.0
2851,NYA,AL,51000000,2686.0,3419.5,589.0,1293.0,152.5,4.0,191.5,357.5,62.5,35.0,498.0,804.0,57.0,53.0,9.0,43.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23936.0,2443.75,534.25,64.5,79.0,3768.0
2852,DET,AL,1522500,241.0,413.0,34.0,109.0,19.0,5.0,7.0,41.0,46.0,29.0,16.0,92.0,0.0,3.0,4.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,745.0,55.0,0.0,5.0,398.0
2853,LAN,NL,37500000,633.0,81.0,505.0,1061.0,0.0,0.0,123.0,4.0,0.0,0.0,253.0,762.0,19.0,23.0,33.0,32.0,16.0,40.0,45.0,157.0,0.0,2387.5,370.0,2.905,47.15,18.0,2.5,3431.25,13.0,2970.0,64.0,106.0,7.0,9.0,3625.0
2854,KCA,AL,2550000,1370.0,1493.0,183.0,364.0,68.0,8.0,36.0,175.0,9.0,9.0,127.0,371.0,3.0,14.0,2.0,12.0,42.0,0.0,0.0,263.0,0.0,11.0,1.0,0.154,2.45,1.0,0.0,14.0,2.0,12376.0,2443.75,254.0,43.0,87.0,4367.0
2855,SEA,AL,540000,228.0,0.0,36.0,52.0,0.0,0.0,10.0,0.0,0.0,0.0,37.0,66.0,2.0,8.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,188.0,33.0,0.4,12.33,5.0,0.0,281.0,10.0,188.0,3.0,13.0,0.0,1.0,756.0
2856,CHA,AL,225000,120.0,0.0,40.0,88.0,0.0,0.0,9.0,0.0,0.0,0.0,26.0,34.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,254.0,34.0,0.8200000000000001,15.69,6.0,0.0,361.0,20.0,254.0,6.0,16.0,0.0,2.0,1540.0
2857,CHA,AL,7599999,1141.0,0.0,876.0,1748.0,0.0,0.0,154.0,0.0,0.0,0.0,665.0,1003.0,35.0,34.0,0.0,0.0,0.0,40.0,45.0,484.0,2.5,2387.5,370.0,3.16,53.17,40.0,2.5,3431.25,52.5,5187.0,150.0,266.0,21.0,20.0,4098.0
2858,OAK,AL,1560000,664.0,0.0,581.0,1172.0,0.0,0.0,124.0,0.0,0.0,0.0,520.0,541.0,20.0,31.0,0.0,0.0,0.0,40.0,45.0,322.0,2.5,2387.5,370.0,2.3600000000000003,38.24,25.0,0.0,3431.25,32.0,3565.0,76.0,131.0,10.0,13.0,2930.0
2859,SLN,NL,7500000,805.0,46.0,177.0,365.0,1.0,0.0,45.0,4.0,0.0,0.0,141.0,278.0,10.0,18.0,23.0,7.0,1.0,19.0,24.0,17.0,2.5,1162.0,163.0,1.4019999999999997,26.89,20.0,0.0,1652.0,52.5,1164.0,33.0,43.0,1.0,5.0,1915.0
